Name,Problem Size,,Semi-greedy-1,Simple Local or Local-1,,Grasp-1,,Known Best Solution or Upper Bound
, |V| or n, |E| or m,,Number of Iterations,Best Value,Number of Iterations,Best Value,
G1,800,19176,11120,73,11302,50,11371,12078
G2,800,19176,11130,71,11311,50,11371,12084
G3,800,19176,11125,69,11299,50,11365,12077
G4,800,19176,11125,71,11310,50,11388,
G5,800,19176,11130,71,11309,50,11378,
G6,800,19176,1582,84,1806,50,1867,
G7,800,19176,1429,83,1658,50,1777,
G8,800,19176,1427,85,1658,50,1736,
G9,800,19176,1482,82,1703,50,1810,
G10,800,19176,1419,84,1650,50,1764,
G11,800,1600,414,15,445,50,462,627
G12,800,1600,401,16,432,50,464,621
G13,800,1600,420,17,455,50,484,645
G14,800,4694,2929,27,2963,50,2986,3187
G15,800,4661,2913,25,2945,50,2964,3169
G16,800,4672,2920,25,2952,50,2974,3172
G17,800,4667,2913,27,2947,50,2965,
G18,800,4694,721,63,830,50,894,
G19,800,4661,628,66,741,50,798,
G20,800,4672,670,62,775,50,817,
G21,800,4667,648,68,763,50,808,
G22,2000,19990,12642,113,12854,50,12943,14123
G23,2000,19990,12631,115,12850,50,12936,14129
G24,2000,19990,12630,118,12853,50,12940,14131
G25,2000,19990,12630,117,12853,50,12932,
G26,2000,19990,12625,111,12831,50,12882,
G27,2000,19990,2393,175,2746,50,2826,
G28,2000,19990,2350,173,2700,50,2780,
G29,2000,19990,2439,174,2790,50,2873,
G30,2000,19990,2445,176,2796,50,2883,
G31,2000,19990,2352,180,2717,50,2822,
G32,2000,4000,1028,38,1104,50,1152,1560
G33,2000,4000,992,41,1076,50,1132,1537
G34,2000,4000,984,42,1068,50,1110,1541
G35,2000,11778,7360,61,7437,50,7471,8000
G36,2000,11766,7353,60,7431,50,7468,7996
G37,2000,11785,7360,61,7437,50,7465,8009
G38,2000,11779,7356,62,7435,50,7464,
G39,2000,11778,1693,170,1984,50,2047,
G40,2000,11766,1707,161,1983,50,2064,
G41,2000,11785,1707,161,1988,50,2082,
G42,2000,11779,1771,167,2063,50,2165,
G43,1000,9990,6289,62,6406,50,6452,7027
G44,1000,9990,6288,60,6402,50,6454,7022
G45,1000,9990,6280,62,6399,50,6445,7020
G46,1000,9990,6294,61,6409,50,6472,
G47,1000,9990,6295,63,6411,50,6506,
G48,3000,6000,5729,2,5733,50,5926,6000
G49,3000,6000,5709,3,5714,50,5924,6000
G50,3000,6000,5695,3,5700,50,5856,5988
G51,1000,5909,3683,33,3725,50,3745,
G52,1000,5916,3688,33,3731,50,3751,
G53,1000,5914,3684,31,3723,50,3743,
G54,1000,5916,3684,31,3722,50,3746,
